A1,A2,A3,A4,A5,A6
80,0,30,71,26,126
100,0,30,71,26,125
125,0,30,71,26,125
160,0,30,71,26,127
200,0,30,71,26,127
250,0,30,71,26,125
315,0,30,71,26,125
400,0,30,71,26,123
500,0,30,71,26,121
630,0,30,71,26,119
800,0,30,71,26,117
1000,0,30,71,26,115
1250,0,30,71,26,112
1600,0,30,71,26,108
50,0,30,55,28,126
63,0,30,55,28,127
80,0,30,55,28,128
100,0,30,55,28,126
125,0,30,55,28,126
160,0,30,55,28,126
200,0,30,55,28,126
250,0,30,55,28,124
315,0,30,55,28,123
400,0,30,55,28,121
500,0,30,55,28,119
630,0,30,55,28,117
800,0,30,55,28,116
1000,0,30,55,28,113
1250,0,30,55,28,111
20,0,30,39,31,118
25,0,30,39,31,119
31,0,30,39,31,122
40,0,30,39,31,124
50,0,30,39,31,126
63,0,30,39,31,128
80,0,30,39,31,129
100,0,30,39,31,127
125,0,30,39,31,125
160,0,30,39,31,124
200,0,30,39,31,123
250,0,30,39,31,121
315,0,30,39,31,120
400,0,30,39,31,119
500,0,30,39,31,117
630,0,30,39,31,116
800,0,30,39,31,114
1000,0,30,39,31,112
1250,0,30,39,31,109
20,0,30,31,33,117
25,0,30,31,33,118
31,0,30,31,33,122
40,0,30,31,33,125
50,0,30,31,33,127
63,0,30,31,33,129
80,0,30,31,33,129
100,0,30,31,33,127
125,0,30,31,33,124
160,0,30,31,33,122
200,0,30,31,33,122
250,0,30,31,33,120
315,0,30,31,33,119
400,0,30,31,33,118
500,0,30,31,33,115
630,0,30,31,33,113
800,0,30,31,33,110
1000,0,30,31,33,108
80,15,30,71,33,127
100,15,30,71,33,125
125,15,30,71,33,125
160,15,30,71,33,126
200,15,30,71,33,126
250,15,30,71,33,124
315,15,30,71,33,123
400,15,30,71,33,121
500,15,30,71,33,119
630,15,30,71,33,118
800,15,30,71,33,115
1000,15,30,71,33,113
1250,15,30,71,33,109
1600,15,30,71,33,106
31,15,30,39,39,121
40,15,30,39,39,124
50,15,30,39,39,126
63,15,30,39,39,128
80,15,30,39,39,128
100,15,30,39,39,127
125,15,30,39,39,125
160,15,30,39,39,122
200,15,30,39,39,122
250,15,30,39,39,120
315,15,30,39,39,119
400,15,30,39,39,117
500,15,30,39,39,116
630,15,30,39,39,114
800,15,30,39,39,112
1000,15,30,39,39,108
1250,15,30,39,39,106
40,30,30,71,42,127
50,30,30,71,42,128
63,30,30,71,42,129
80,30,30,71,42,129
100,30,30,71,42,129
125,30,30,71,42,127
160,30,30,71,42,126
200,30,30,71,42,125
250,30,30,71,42,124
315,30,30,71,42,121
400,30,30,71,42,120
500,30,30,71,42,118
630,30,30,71,42,116
800,30,30,71,42,114
1000,30,30,71,42,110
40,30,30,55,45,126
50,30,30,55,45,128
63,30,30,55,45,129
80,30,30,55,45,129
100,30,30,55,45,129
125,30,30,55,45,127
160,30,30,55,45,124
200,30,30,55,45,123
250,30,30,55,45,122
315,30,30,55,45,120
400,30,30,55,45,118
500,30,30,55,45,117
630,30,30,55,45,115
800,30,30,55,45,113
1000,30,30,55,45,112
31,30,30,39,49,123
40,30,30,39,49,125
50,30,30,39,49,127
63,30,30,39,49,129
80,30,30,39,49,129
100,30,30,39,49,128
125,30,30,39,49,125
160,30,30,39,49,122
200,30,30,39,49,120
250,30,30,39,49,120
315,30,30,39,49,118
400,30,30,39,49,116
500,30,30,39,49,115
630,30,30,39,49,114
800,30,30,39,49,110
31,30,30,31,52,123
40,30,30,31,52,125
50,30,30,31,52,127
63,30,30,31,52,128
80,30,30,31,52,128
100,30,30,31,52,126
125,30,30,31,52,124
160,30,30,31,52,122
200,30,30,31,52,120
250,30,30,31,52,119
315,30,30,31,52,118
400,30,30,31,52,115
500,30,30,31,52,113
630,30,30,31,52,109
25,40,30,71,49,126
31,40,30,71,49,128
40,40,30,71,49,129
50,40,30,71,49,130
63,40,30,71,49,131
80,40,30,71,49,131
100,40,30,71,49,131
125,40,30,71,49,129
160,40,30,71,49,126
200,40,30,71,49,124
250,40,30,71,49,123
315,40,30,71,49,121
400,40,30,71,49,119
500,40,30,71,49,117
630,40,30,71,49,116
800,40,30,71,49,113
1000,40,30,71,49,110
1250,40,30,71,49,107
25,40,30,39,57,123
31,40,30,39,57,126
40,40,30,39,57,128
50,40,30,39,57,130
63,40,30,39,57,131
80,40,30,39,57,130
100,40,30,39,57,128
125,40,30,39,57,126
160,40,30,39,57,123
200,40,30,39,57,120
250,40,30,39,57,120
315,40,30,39,57,118
400,40,30,39,57,115
500,40,30,39,57,113
125,0,22,71,21,128
160,0,22,71,21,129
200,0,22,71,21,128
250,0,22,71,21,128
315,0,22,71,21,127
400,0,22,71,21,125
